subject_id,spider score, parent CTX image, center latitude, center longitude
1320910,0.698,"P13_006283_1003_XN_79S065W",-81.72,297.39
1044687,0.698,"P13_006151_0974_XN_82S055W",-81.88,301.72
1491686,0.698,"P13_006197_0930_XN_87S187W",-87.30,186.22
1044851,0.696,"P13_006151_0974_XN_82S055W",-82.09,302.73
1321091,0.695,"P13_006283_1003_XN_79S065W",-81.33,297.46
1047708,0.695,"D14_032593_1037_XN_76S174W",-76.71,185.92
490086,0.694,"G14_023496_1047_XI_75S213W",-75.40,146.15
488326,0.694,"P13_006204_0986_XN_81S065W",-80.70,293.19
1320891,0.693,"P12_005839_0994_XI_80S170W",-80.53,189.97
491766,0.693,"P13_006148_1028_XN_77S342W",-79.44,19.64
484538,0.693,"G14_023634_1036_XN_76S027W",-74.41,331.46
1320814,0.693,"P12_005839_0994_XI_80S170W",-80.89,188.97
1515193,0.693,"P13_006234_1008_XN_79S168W",-78.65,191.30
1320766,0.692,"P13_006005_0947_XN_85S015W",-84.55,341.12
1491971,0.692,"G14_023577_0999_XN_80S262W",-80.17,96.55
488430,0.692,"P13_006204_0986_XN_81S065W",-81.90,297.34
1515184,0.691,"P13_006234_1008_XN_79S168W",-79.18,192.04
486274,0.691,"D14_032518_0995_XN_80S281W",-81.74,80.73
1510258,0.690,"G13_023338_1043_XI_75S229W",-75.41,131.25
1491980,0.689,"G14_023577_0999_XN_80S262W",-80.27,97.15
1320850,0.687,"P12_005839_0994_XI_80S170W",-80.65,189.30
490033,0.686,"P12_005790_0978_XI_82S284W",-82.41,75.77
488617,0.684,"D13_032352_0985_XN_81S063W",-81.79,296.99
1058101,0.683,"P13_006151_0974_XN_82S055W",-81.85,303.63
1515182,0.683,"P13_006234_1008_XN_79S168W",-79.30,192.22
1514895,0.683,"P13_005958_1030_XI_77S195W",-76.70,165.25
490088,0.683,"G14_023496_1047_XI_75S213W",-75.28,146.00
488386,0.682,"P13_006204_0986_XN_81S065W",-82.04,297.21
1491915,0.682,"G14_023524_0999_XN_80S262W",-80.22,97.01
1041273,0.680,"G14_023691_1031_XN_76S143W",-78.95,219.39
488563,0.679,"D13_032352_0985_XN_81S063W",-81.84,296.13
484536,0.678,"G14_023634_1036_XN_76S027W",-74.53,331.55
491402,0.677,"P13_006173_0934_XN_86S263W",-86.85,97.72
488323,0.677,"P13_006204_0986_XN_81S065W",-80.88,293.53
491675,0.677,"P13_006148_1028_XN_77S342W",-79.70,19.62
491683,0.677,"P13_006148_1028_XN_77S342W",-79.23,18.96
490242,0.676,"G14_023591_0996_XN_80S284W",-80.67,75.09
491682,0.675,"P13_006148_1028_XN_77S342W",-79.29,19.04
1491933,0.674,"G14_023524_0999_XN_80S262W",-80.42,98.13
485156,0.671,"P12_005705_1016_XI_78S133W",-77.71,225.02
488351,0.669,"P13_006204_0986_XN_81S065W",-81.66,295.73
491934,0.668,"P13_006148_1028_XN_77S342W",-79.76,20.89
491948,0.668,"P13_006148_1028_XN_77S342W",-78.94,19.66
491863,0.667,"P13_006148_1028_XN_77S342W",-78.84,19.16
488331,0.667,"P13_006204_0986_XN_81S065W",-80.41,292.65
491594,0.666,"P13_006148_1028_XN_77S342W",-79.36,18.77
491040,0.666,"G14_023506_1036_XN_76S132W",-78.98,230.66
488343,0.666,"P13_006204_0986_XN_81S065W",-82.12,296.92
488618,0.666,"D13_032352_0985_XN_81S063W",-81.73,296.82
1514925,0.665,"P13_006234_1008_XN_79S168W",-79.50,190.65
488595,0.664,"D13_032352_0985_XN_81S063W",-81.53,295.74
484624,0.662,"G14_023634_1036_XN_76S027W",-74.46,331.75
488429,0.662,"P13_006204_0986_XN_81S065W",-81.96,297.50
490073,0.661,"P12_005790_0978_XI_82S284W",-81.95,76.29
489850,0.660,"D13_032173_1031_XN_76S227W",-77.20,133.12
488383,0.660,"P13_006204_0986_XN_81S065W",-82.21,297.69
1510273,0.659,"G13_023338_1043_XI_75S229W",-77.32,132.91
488591,0.658,"D13_032352_0985_XN_81S063W",-81.76,296.39
491479,0.658,"D14_032675_0924_XN_87S253W",-87.83,107.41
1319646,0.658,"P12_005813_1030_XI_77S195W",-76.84,165.10
1510674,0.657,"P13_006282_1046_XN_75S043W",-77.69,319.85
489861,0.656,"D13_032173_1031_XN_76S227W",-77.19,133.41
489166,0.654,"G14_023538_1006_XN_79S285W",-80.67,75.21
1040619,0.654,"D13_032182_1030_XN_77S112W",-77.49,247.94
